field;ru;en;es;pt
common.validation.required;Обязательное поле;The main field;Campo obligatorio;
common.validation.notEqual;Поле не совпадает;The field does not match;El campo no coincide;
common.validation.beforeDate;Дата должна дыть до {boundary};The date must be before {boundary};La fecha debe ser antes de {border};
common.validation.afterDate;Дата должна быть после {boundary};The date must be after {boundary};La fecha debe ser después de {límite};
common.validation.lessThan;Значение должно быть меньше чем {boundary};The value must be less than {boundary};El valor debe ser menos de {límite};
common.validation.greatOrEqualThan;Значение должно быть больше чем {boundary} или равно;The value must be more than {boundary} or equal;El valor debe ser más de {límite} o igual;
common.validation.greatThan;Значение должно быть больше чем {boundary};The value must be more than {boundary};El valor debe ser más de {límite};
common.validation.balanceNotEnough;Баланса недостаточно;Balance is insufficient;Recursos insuficientes;
common.validation.invalidAddress;Формат адреса не правильный;Address format is incorrect ;El formato de la dirección es incorrecto;
common.validation.notZero;Не должен быть 0;Zero is incorrect;No puede ser zero;
common.approveButton;Подтвердить;Approve;Confirmar;
common.loadMoreButton;Загрузить ещё;Load more;Cargar más;
common.time.yearShortLabel;г;y;g;
common.time.monthShortLabel;м;m;m;
common.time.dayShortLabel;д;d;d;
common.time.hourShortLabel;ч;h;h;
common.time.minuteShortLabel;м;m;m;
common.time.secondShortLabel;с;s;c;
common.time.timeAgo;{time} назад;{time} ago;{time} atrás;
components.txMessages.nftApproveMessage;Подтверждение токена #{tokenId};Approving NFT token #{tokenId};Confirmación del token #{tokenId};
components.txMessages.tokenApproveMessage;Подтверждение токена {symbol};Approving token {symbol};Confirmación del token {symbol};
components.txMessages.bidPremium;Cтавка {bid} токен #{tokenId};Biding {bid} for token #{tokenId};Apuesta {bid} del token #{tokenId};
components.txMessages.buyNowSingle;Моментальная покупка токена #{tokenId};Instant buying token #{tokenId};Compra instantánea del token #{tokenId};
components.txMessages.cancelAuction;Отмена аукциона #{tokenId};Canceling auction #{tokenId};Cancelar subasta #{tokenId};
components.txMessages.finalizeSingleAuction;Завершение аукциона #{tokenId};Finalizing auction #{tokenId};Fin de la subasta #{tokenId};
components.txMessages.createSingleAuction;Создание аукциона #{tokenId}; Creating auction for #{tokenId};Crear una subasta #{tokenId};
components.txMessages.buyTicket;Покупка билетов {ticketCount} для токена #{tokenId}; Buying {ticketCount} ticket for token #{tokenId};Comprar billetes {ticketCount} para el token #{tokenId};
components.txMessages.finalizeLottery;Завершение лотереи #{tokenId};Finalizing lottery #{tokenId};Fin de la lotería #{tokenId};
components.txMessages.cancelLottery;Отмена лотереи для токена #{tokenId};Canceling lottery for #{tokenId};Cancelar la lotería para el token #{tokenId};
components.txMessages.createLottery;Создание лотереи для токена #{tokenId};Creating lottery for #{tokenId};Crear una lotería para el token #{tokenId};
components.txMessages.buyMarketPositions;Покупка токена #{tokenId};Buying token #{tokenId};Compra de un token #{tokenId};
components.txMessages.cancelSale;Отмена позиции #{tokenId};Canceling market position #{tokenId};Cancelar posición #{tokenId};
components.txMessages.sellItem;Размещение токена #{tokenId} на рынке; Placing token #{tokenId} on market;Publicación del token #{tokenId} en el mercado;
components.txMessages.claimBonusOfToken;Снятие бонуса в токенах {symbol}; Claining bonus in {symbol};Retiro del bono en tokens {symbol};
components.txMessages.transferFrom;Предача токена #{tokenId} аккаунта {toAccount};Transfering token #{tokenId} to {toAccount};Transfiriendo el token #{tokenId} de la cuenta {toAccount};
components.txMessages.burn;Сжигание токена #{tokenId};Burning token #{tokenId};Quema del token #{tokenId};
components.auctionCard.endInLabel;Закончится через;Ends in;Terminará en;
components.auctionCard.startInLabel;Начнется через;Starts in;Comenzará en;
components.auctionCard.endedLabel;Закончен;Ended;Finalizado;
components.auctionCard.currentBidLabel;Ставка;Bid;Apuesta;
components.auctionCard.collectionLabel;Коллекция;Collection;Colección;
components.auctionCard.ownerLabel;Владелец;Owner;Propietario;
components.auctionCard.manageButton;Управление;Management;Control;
components.auctionCard.bidButton;Ставка;Bid;Apuesta;
components.burnNFTForm.title;Сжечь;Burn;Quemar;
components.burnNFTForm.alert;ВНИМАНИЕ;WARNING;ATENCIÓN;
components.burnNFTForm.description;Токен будет уничтожен, операцию невозможно будет отменить.;The token will be burnt. The operation cannot be canceled. ;El token será destruido. La operación no se podrá deshacer.;
components.burnNFTForm.securityCodeHelpLabel;Код безопасности;Security code;Código de seguridad;
components.burnNFTForm.securityCodeLabel;Код безопастности;Security code;Código de seguridad;
components.burnNFTForm.securityCodePlaceholder;Введите 6 символов;Enter 6 characters;Introduce 6 símbolos;
components.burnNFTForm.burnButton;Сжечь;Burn;Quemar;
components.collectionCard.itemsInCollectionLabel;Коллекция;Collection;Colección;
components.collectionCard.openButton;Открыть;Open;Abrir;
components.createAuctionNFTForm.title;Создать аукцион;Create an auction;Crear una subasta;
components.createAuctionNFTForm.paymentTokenLabel;Токен платежа;Payment token;Token del pago;
components.createAuctionNFTForm.startPriceLabel;Начальная цена;Starting price;Precio inicial;
components.createAuctionNFTForm.startPricePlaceholder;Введите цену;Enter price;Introduzca el precio;
components.createAuctionNFTForm.buyNowPriceLabel;Цена моментальной покупки;Instant purchase price;Precio de la compra instantánea;
components.createAuctionNFTForm.buyNowPricePlaceholder;Введите цену;Enter price;Introduzca el precio;
components.createAuctionNFTForm.auctionTypeLabel;Тип;Type;Tipo;
components.createAuctionNFTForm.startedNowTypeLabel;Мгновенный запуск;Instant launch;Inicio instantáneo;
components.createAuctionNFTForm.startedNowDescription;Аукцион стартует с момента создания;The auction starts immediately;La subasta comienza desde el momento de la creación;
components.createAuctionNFTForm.durationLabel;Продолжительность;Duration;Duración;
components.createAuctionNFTForm.durationPlaceholder;Введите продолжительность;Enter duration;Introduzca la duración;
components.createAuctionNFTForm.limitTypeLabel;Отложенный;Delayed;Aplazado;
components.createAuctionNFTForm.startDateLabel;Начало;Start;Comienzo;
components.createAuctionNFTForm.endDateLabel;Конец;End;Final;
components.createAuctionNFTForm.walletAccessCheck;????;;????;
components.createAuctionNFTForm.quantityCheckLabel;Количество токенов автора;Number of author's tokens;Cantidad de tokens del autor;
components.createAuctionNFTForm.quantityCheckPlaceholder;Введите количество токенов;Enter the quantity of tokens;Introduzca la cantidad de los tokens;
components.createAuctionNFTForm.createAuctionButton;Создать;Create;Crear;
components.createLotteryNFTForm.title;Создать лотерею;Create a lottery;Сrear una lotería;
components.createLotteryNFTForm.paymentTokenLabel;Токен платежа;Payment token;Token del pago;
components.createLotteryNFTForm.maxTicketLabel;Количество билетов;Number of tickets;Cantidad de billetes;
components.createLotteryNFTForm.maxTicketPlaceholder;Введите количество билетов;Enter quantity of tickets;Ingrese la cantidad de billetes;
components.createLotteryNFTForm.ticketPriceLabel;Цена билета;Ticket price;Precio de un billete;
